Disease Name,Symptoms,Reason,Prevention Measures,Fertilizers Used
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Brown spots with yellow halos on leaves; gray or tan spots with dark borders on leaves,Fungal infection caused by Cercospora zeae-maydis or Cercospora zeina,"Crop rotation, fungicide application, planting resistant varieties","Balanced nitrogen, phosphorus, and potassium fertilizer"
Corn_(maize)___Common_rust_,Rust-colored pustules on leaves; yellowing of leaves,Fungal infection caused by Puccinia sorghi,"Plant resistant varieties, use fungicides, remove infected debris","Balanced nitrogen, phosphorus, and potassium fertilizer"
Corn_(maize)___Northern_Leaf_Blight,Irregularly shaped lesions on leaves; lesions have tan centers with dark borders,Fungal infection caused by Exserohilum turcicum,"Crop rotation, fungicide application, planting resistant varieties","Balanced nitrogen, phosphorus, and potassium fertilizer"
Corn_(maize)___healthy,No visible symptoms,Not applicable,Regular monitoring for disease and pest presence,"Balanced nitrogen, phosphorus, and potassium fertilizer"
Grape___Black_rot,"Dark, sunken lesions on leaves and fruit; black spots on leaves",Fungal infection caused by Guignardia bidwellii,"Prune infected parts, use fungicides, improve air circulation","Balanced nitrogen, phosphorus, and potassium fertilizer"
Grape___Esca_(Black_Measles),Necrotic spots on leaves; black streaks in the wood of the vine,Fungal infection caused by Phaeomoniella chlamydospora and other fungi,"Prune infected parts, use fungicides, improve air circulation","Balanced nitrogen, phosphorus, and potassium fertilizer"
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Circular to oval lesions on leaves; lesions have gray centers with dark borders,Fungal infection caused by Isariopsis griseola,"Crop rotation, fungicide application, planting resistant varieties","Balanced nitrogen, phosphorus, and potassium fertilizer"
Grape___healthy,No visible symptoms,Not applicable,Regular monitoring for disease and pest presence,"Balanced nitrogen, phosphorus, and potassium fertilizer"
Potato___Early_blight,Dark brown spots on leaves; concentric rings on spots,Fungal infection caused by Alternaria solani,"Crop rotation, fungicide application, planting resistant varieties","Balanced nitrogen, phosphorus, and potassium fertilizer"
Potato___Late_blight,"Dark, water-soaked lesions on leaves; white, fuzzy growth on underside of leaves",Fungal infection caused by Phytophthora infestans,"Crop rotation, fungicide application, planting resistant varieties","Balanced nitrogen, phosphorus, and potassium fertilizer"
